CIV304, GEOLOGIA
MAT103, GEOMETRIA TRIGONOMETRIA
REH302, GER.RECURSOS HUMANOS I
REH303, GER.RECURSOS HUMANOS II
FIN302, GERENCIA FINANCIERA I
FIN401, GERENCIA FINANCIERA II
FIN408, GERENCIA FINANCIERA III
IND307, GESTION DE CALIDAD
LOG301, GESTION DE COMPRAS 
REL300, GESTION DE IMAG. PUBLICA - Comp. secc 344 UNITEC
REH101, GESTION DEL TALENTO HUMANO I
REH102, GESTION DEL TALENTO HUMANO II
BMD201, GESTION HOSPITALARIA
REL307, GESTION NEGOC. ESTRATEG
CEAO-10, GESTIÓN DE DATOS EN ÓPTICA
REL314, GESTIÓN, DE EVENTOS Y PROTOCOLO 
NADI 2, GLOBAL MARKET
COM312, GUION MED. AUDIOV. 
CEER-13, HERR. Y TÉCN. ADM. PROY.
CIV314, HIDROLOGIA
HIS302, HIST. POLIT. SOC. Y CONT. A.L
ARQ412, HISTORIA ARQUI. URBANISMO II
ARQ414, HISTORIA ARQUI. URBANISMO IV
HIS101, HISTORIA DE HONDURAS
HIS101, HISTORIA DE HONDURAS
HIS101, HISTORIA DE HONDURAS
HIS101, HISTORIA DE HONDURAS
HIS101, HISTORIA DE HONDURAS
HIS101, HISTORIA DE HONDURAS
HIS101, HISTORIA DE HONDURAS
HIS101, HISTORIA DE HONDURAS
HIS101, HISTORIA DE HONDURAS
HIS101, HISTORIA DE HONDURAS
HIS101, HISTORIA DE HONDURAS
HIS101, HISTORIA DE HONDURAS
DGR102, HISTORIA DEL ARTE
HIS301, HISTORIA POLI.Y SOC. CONTEMPO
COM103, HISTORIA Y AN. DEL ARTE VISUAL 
COM218, IDENTIDAD VISUAL CORPORATIVA - Lab. Computo compartida secc 222
CFP-03, ILUMINACION
COM406, IMAGEN CORPORATIVA
COM406, IMAGEN CORPORATIVA
COM406, IMAGEN CORPORATIVA - 01/110
BMD408, IMAGENOLOGIA
CGTH-05, INFRACCIONES TRIBUTARIAS
CIV503, INGENIERIA AMBIENTAL
SEL308, INGENIERIA DE CONTROL
IND306, INGENIERIA DE METODOS AVANZAD. - Matrícula con autorización. Requisito: IND301 Ing. de Método
CCC406, INGENIERIA DE SOFTWARE
CCC406, INGENIERIA DE SOFTWARE 
IND403, INGENIERIA ECONOMICA
CIV412, INGENIERIA HIDRAULICA I
CIV506, INGENIERIA HIDRAULICA II
CIV407, INGENIERIA SANITARIA I
CIV409, INGENIERIA SANITARIA II
ING105, INGLES I
ING106, INGLES II
ING107, INGLES III
ING108, INGLES IV
ING109, INGLES V
ING110, INGLES VI
ING111, INGLES VII
ING112, INGLES VIII
IND418, INNOV. DESA. PRODUC.
BMD304, INSTAL. HOSPITALARIAS I
BMD402, INSTAL. HOSPITALARIAS III
ARQ335, INSTALACION EDIFICACIONES II 
ELE302, INSTALACIONES
SEL303, INSTALACIONES ELÉCTRICAS
REL317, INSTITUC. Y ORGAN. INTERNAC.
TLL300, INTELIGENCIA EMOCIONAL
MEC101, INTRO. A LA MECATRÓNICA
DER103, INTRO. AL ESTUDIO DEL DERECHO
IND101, INTRO. INGE. INDUSTRIAL
COM201, INTRO. MEDIOS AUDIVISU 
NUE101, INTRO. NUTRICIÓN Y DIETÉTICA
TEL101, INTRO. TELECOMUNICACIONES
REL104, INTRO. TEORÍA RELAC. INTERN. - Clase se imparte tres días a la semana
COM104, INTROD. A LA COMUNICACIÓN 
DGR100, INTROD. AL DISEÑO GRAFICO - Taller de Diseño.
CPO101, INTROD. CIENCIA POLÍTICA - 01/106
ECO301, INTROD.TEORIA MONETARIA
ARQ100, INTRODUC. DISEÑO ARQUITECT
CCC106, INTRODUCCION A LA COMPUTA
CPSS-01, INTRODUCCION A SEIS SIGMA
MAT002, INTRODUCCION AL ALGEBRA
CDI-1, INTRODUCCION AL DISEÑO
CON203, INTRODUCCION ANALISIS FINANC.
BMD100, INTRODUCCION ING. BIOMEDICA
ECO103, INTRODUCCIÓN A LA ECONOMÍA
PSE106, INTRODUCCIÓN A LA PSICOLOGÍA
IND405, INVES. OPER. INGENIERIA 
IND405, INVES. OPER. INGENIERIA 
MER204, INVEST. DE MERCADOS I
IND302, INVESTIGACION OPERACIONES 
INVES-01, INVESTIGACIÓN - Docente atiende a los Estudiantes de la FCS en Investigación
ITA101, ITALIANO I
ITA102, ITALIANO II
ITA103, ITALIANO III
ITA104, ITALIANO IV
SEL900, LAB. DE CIRCUITOS Y MEDICIONES - Lab. de Circuitos Electricos II
LCI304, LAB. DE CONCRETO - Inscripción Adicional Lab Civil
SEL903, LAB. DE CONTROL AUTOMATICO - Lab. de Control Digital
SEL904, LAB. DE DISEÑO SISTEM. LOGICOS - Lab. de Diseño de Sistemas Logicos
SEL902, LAB. DE ELECTRONICA - Lab. de Electronica II
SEL901, LAB. DE INSTRUMENT. Y MEDICION - Lab. de Electronica I
LSE402, LAB. DE MICROPROCESADORES I
TEL904, LAB. DE SISTEMAS DE COMUNICAC. - Lab. de Redes de Comunicacion
TEL902, LAB. DE SISTEMAS DIGITALES - Lab. de Sistemas de Comunicacion
LCI301, LAB. DE TOPOGRAFIA I
LCI302, LAB. DE TOPOGRAFIA II
LCI501, LAB. DE VIAS DE COMUNIC - Inscripción adicional en Lab Civil
LCP104, LAB. PROGRAMACION I
LCP105, LAB. PROGRAMACION II
LCP208, LAB. PROGRAMACION III
COM309, LABORATORIO ANIMACION - Lab. Computo 7am-10am
MER208, LABORATORIO SPSS
DER203, LEGIS. INST FINANCIERAS - Clase de Finanzas
DER424, LEGISLACION ARQUITECTONICA - Matrícula con Autorización FIA *Requesito ARQ427
DER405, LEGISLACION COMERCIO ELECTRON. - Clase Tutorial
DER110, LEGISLACION NEGO. INTERNA. - Clase de Mercadotecnia y Negocios Int.
CCC405, LENGUAJES PROGRAMACION
CEAO-09, LENTES Y ENFERMEDADES OCULARES
ING115, LITERATURA MUNDIAL (ING. AV)
NADIA1, LOCAL CULTURE A
LOG401, LOGISTICA I
LOG403, LOGISTICA II
DER112, LÓGICA JURÍDICA
ECO201, MACROECONOMIA
NADG 2, MACROVISIBILITY - Aula edificio 2 4to piso de 1:00pm a 3:40pm
MAN101, MANDARIN I
MAN102, MANDARIN II
MAN103, MANDARIN III
MAN104, MANDARIN IV
IND419, MANUF. AUTOMATIZADA I 
FIN208, MATEMATICA FINANCIERA
MAT303, MATEMATICAS DISCRETAS
DCD202, MATERIALES DENTALES - lab viernes 7 - 9:50 am
CIV402, MECANICA DE FLUIDOS
CIV311, MECANICA DE SUELOS II
MEC302, MECANISMOS
CPSS-03, MEDICION ESTADISTICA DE PRO.
FIN305, MERC. E INTERMED. FINANCIEROS
MER407, MERCADOTECNIA BANCARIA
MER207, MERCADOTECNIA I
MER312, MERCADOTECNIA II
MER409, MERCADOTECNIA III
DGR200, METODOLOGIA DEL DISEÑO - Aula edificio 5
TLL314, METODOLOGÍA DE INVESTIGACIÓN
INV201, METODOLOGÍA INVESTIGAC.
INV201, METODOLOGÍA INVESTIGAC. - CLASE INTERNACIONAL
MAT304, METODOS NUMERICOS
IND417, METROL. NORMAL
CICA-07, MICRO. HIGIE INOCU. ALIM.
IND427, MICROBIOLOGIA INDUSTRIAL - Matrícula con autorización Requisito:BIO302 QuímicaAlimentos
NUE203, MICROBIOLOGÍA DE LOS ALIMENTOS
ECO102, MICROECONOMIA
SEL402, MICROPROCESADORES I
IND413, MODELA. PROCESOS INDUSTRIALES - Impartida en Ceutec, Sección 651, 6:00 pm LP/L05 días 13
DCD206, MORFOFISIOLOGÍA BUCODENTAL II - martes, jueves y viernes 2.:20 - 6:30
COM404, MULTIMEDIA - Lab. de Computo comp.
MEC309, MÁQUINAS HERRAMIENTAS
DEP109, NATACION - EN POLIDEPORTIVO
CEHG-08, NEGOCIAC. SOLUCIÓN CONFLICTOS
TLL306, NEGOCIACION - 01/106
ADM408, NEGOCIACIÓN - Clase comienza 6:40am
ADM407, NEGOCIOS INTERNACIONALES
NUE301, NUTRIC. EMBARAZO Y LACTANCIA - Laboratorio viernes 7:00 am CESAMO los Pinos
DER204, OBLIGACIONES Y CONTRATOS I
DER206, OBLIGACIONES Y CONTRATOS II
LCC101, OFIMATICA I
LCC102, OFIMATICA II
LCC103, OFIMATICA III
LCC104, OFIMÁTICA AVANZADA
MER314, OPERA DEL COMER EXT
CEAO-08, OPTOMETRÍA CIEN. VISIÓN
CCC302, ORGANIZ. DE ARCHIVOS
ARQ429, PAISAJISMO
ADM105, PEQ EMPR Y DESA DE FRANQ
ARQ103, PERCEPCIÓN Y REPRESEN III - Modalidad Presencial Horario 2 Días
ARQ101, PERCEPCIÓN Y REPRESENTACIÓN I - Mod. Presencial Horario 2 Días
DCD303, PERIODONCIA I - lunes a jueves 3:40 - 6:30
DER113, PERSONAS Y FAMILIA
CEHG-09, PLAN. ESTRAT. TOMA DE DECISI.
MER401, PLAN. Y CONTROL MERCADOTEC.
COM421, PLANIFICACION DE MEDIOS 
ARQ504, PLANIFICACION URBANA II - Modalidad Presencial Horario 2 Días
COM315, PLANIFICACIÓN Y ESTRAT. MEDIOS 
CPO401, POLÍTICA EXTERIOR DE HONDURAS
POR101, PORTUGUES I
POR101, PORTUGUES I
POR102, PORTUGUES II
POR102, PORTUGUES II
POR103, PORTUGUES III
POR104, PORTUGUES IV
DER303, PRACTICA PROCESAL CIVIL
REL491, PRACTICA PROFES. - Con Autorización Jefe Académico
REL491, PRACTICA PROFES. - Sección para Disney
ING113, PREP. PARA EL TOEFL (ING. AV)
NUE302, PREPARACIÓN Y CONSERV. ALIM. - Laboratorios dias Martes y Miercoles
FIN303, PRESUPU, STOS
CEER-15, PROC. PERMISOS Y SOCIALIZ.
DER322, PROCE. Y PRACT. PROC. LABORAL
